지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,행정동ID_8자리
개포3동,강남구,아파트,월세,20㎡이하,353,높음,자치구,,,,6606.0,,,42.0,14.7,11230511
개포3동,강남구,아파트,월세,20-40㎡,95,높음,해당지역,,,,5000.0,,,128.0,39.5,11230511
개포3동,강남구,아파트,월세,40-60㎡,81,높음,해당지역,,,,20000.0,,,150.0,51.1,11230511
개포3동,강남구,아파트,월세,60-85㎡,29,보통,해당지역,,,,50000.0,,,150.0,83.7,11230511
개포3동,강남구,아파트,월세,85-135㎡,12,보통,해당지역,,,,82500.0,,,300.0,121.7,11230511
개포3동,강남구,아파트,월세,135㎡초과,10,보통,법정동,,,,60000.0,,,182.5,163.1,11230511
개포3동,강남구,연립다세대,월세,20㎡이하,19,보통,법정동,,,,1000.0,,,55.0,17.7,11230511
개포3동,강남구,연립다세대,월세,20-40㎡,128,높음,법정동,,,,10000.0,,,46.5,29.8,11230511
개포3동,강남구,연립다세대,월세,40-60㎡,97,높음,법정동,,,,15000.0,,,60.0,47.2,11230511
개포3동,강남구,연립다세대,월세,60-85㎡,26,보통,법정동,,,,20000.0,,,75.0,69.3,11230511
개포3동,강남구,연립다세대,월세,85-135㎡,77,높음,자치구,,,,15000.0,,,115.0,105.5,11230511
개포3동,강남구,연립다세대,월세,135㎡초과,24,보통,자치구,,,,50000.0,,,375.0,164.1,11230511
개포3동,강남구,오피스텔,월세,20㎡이하,292,높음,자치구,,,,2000.0,,,83.5,17.6,11230511
개포3동,강남구,오피스텔,월세,20-40㎡,74,높음,해당지역,,,,1000.0,,,85.0,32.4,11230511
개포3동,강남구,오피스텔,월세,40-60㎡,88,높음,자치구,,,,5000.0,,,140.0,47.7,11230511
개포3동,강남구,오피스텔,월세,60-85㎡,22,보통,자치구,,,,10000.0,,,250.0,73.3,11230511
개포3동,강남구,오피스텔,월세,85-135㎡,14,보통,자치구,,,,31250.0,,,260.0,94.6,11230511
개포3동,강남구,오피스텔,월세,135㎡초과,10,보통,자치구,,,,60000.0,,,650.0,180.3,11230511
개포3동,강남구,단독다가구,전세,20㎡이하,23,보통,자치구,,,,9500.0,7000.0,11012.5,,19.5,11230511
개포3동,강남구,단독다가구,전세,20-40㎡,18,보통,법정동,,,,14100.0,12500.0,15000.0,,32.3,11230511
개포3동,강남구,단독다가구,전세,40-60㎡,11,보통,법정동,,,,22000.0,18500.0,23575.0,,45.0,11230511
개포3동,강남구,단독다가구,전세,60-85㎡,74,높음,자치구,,,,38000.0,30000.0,43750.0,,69.6,11230511
개포3동,강남구,단독다가구,전세,85-135㎡,43,높음,자치구,,,,43500.0,35750.0,57650.0,,99.0,11230511
개포3동,강남구,단독다가구,전세,135㎡초과,12,보통,자치구,,,,35200.0,28750.0,55750.0,,173.1,11230511
개포3동,강남구,아파트,전세,20㎡이하,30,높음,자치구,,,,19823.0,18225.0,30000.0,,18.1,11230511
개포3동,강남구,아파트,전세,20-40㎡,148,높음,해당지역,,,,39950.0,36525.0,45000.0,,39.5,11230511
개포3동,강남구,아파트,전세,40-60㎡,105,높음,해당지역,,,,61000.0,51400.0,68000.0,,51.1,11230511
개포3동,강남구,아파트,전세,60-85㎡,44,높음,해당지역,,,,78350.0,74625.0,87250.0,,83.7,11230511
개포3동,강남구,아파트,전세,85-135㎡,101,높음,법정동,,,,140000.0,115000.0,170000.0,,107.0,11230511
개포3동,강남구,아파트,전세,135㎡초과,29,보통,법정동,,,,125000.0,110250.0,130000.0,,165.1,11230511
개포3동,강남구,연립다세대,전세,20㎡이하,116,높음,자치구,,,,16000.0,14000.0,20000.0,,17.6,11230511
개포3동,강남구,연립다세대,전세,20-40㎡,106,높음,법정동,,,,30000.0,23000.0,33650.0,,29.8,11230511
개포3동,강남구,연립다세대,전세,40-60㎡,96,높음,법정동,,,,35000.0,28563.8,41850.0,,48.6,11230511
개포3동,강남구,연립다세대,전세,60-85㎡,37,높음,법정동,,,,40700.0,36750.0,47000.0,,68.5,11230511
개포3동,강남구,연립다세대,전세,85-135㎡,51,높음,자치구,,,,65000.0,52500.0,80000.0,,105.8,11230511
개포3동,강남구,연립다세대,전세,135㎡초과,18,보통,자치구,,,,105000.0,84887.5,135000.0,,176.2,11230511
개포3동,강남구,오피스텔,전세,20㎡이하,69,높음,자치구,,,,21000.0,18600.0,23000.0,,17.6,11230511
개포3동,강남구,오피스텔,전세,20-40㎡,16,보통,해당지역,,,,19400.0,18791.2,20000.0,,32.4,11230511
개포3동,강남구,오피스텔,전세,40-60㎡,86,높음,자치구,,,,37962.5,34140.0,45000.0,,47.6,11230511
개포3동,강남구,오피스텔,전세,60-85㎡,17,보통,자치구,,,,68000.0,55600.0,73000.0,,74.8,11230511
개포3동,강남구,오피스텔,전세,85-135㎡,10,보통,자치구,,,,106000.0,74625.0,132562.5,,107.0,11230511
개포4동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,315000.0,725000.0,,,,,292.2,11230710
개포4동,강남구,아파트,매매,20-40㎡,50,높음,법정동,170000.0,153750.0,175000.0,,,,,39.5,11230710
개포4동,강남구,아파트,매매,40-60㎡,23,보통,해당지역,267000.0,260000.0,270000.0,,,,,59.9,11230710
개포4동,강남구,아파트,매매,60-85㎡,23,보통,해당지역,318000.0,285500.0,325000.0,,,,,84.8,11230710
개포4동,강남구,아파트,매매,85-135㎡,11,보통,해당지역,380000.0,364250.0,390000.0,,,,,102.4,11230710
개포4동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,367500.0,750000.0,,,,,163.7,11230710
개포4동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,19446.0,29500.0,,,,,16.6,11230710
개포4동,강남구,연립다세대,매매,20-40㎡,43,높음,해당지역,53000.0,40000.0,63000.0,,,,,32.8,11230710
개포4동,강남구,연립다세대,매매,40-60㎡,56,높음,해당지역,72500.0,59325.0,83125.0,,,,,48.9,11230710
개포4동,강남구,연립다세대,매매,60-85㎡,14,보통,해당지역,83250.0,73825.0,115500.0,,,,,75.6,11230710
개포4동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,113500.0,238125.0,,,,,106.1,11230710
개포4동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,155000.0,222000.0,,,,,166.0,11230710
개포4동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,15600.0,24425.0,,,,,17.6,11230710
개포4동,강남구,오피스텔,매매,20-40㎡,19,보통,법정동,21800.0,21300.0,23750.0,,,,,32.4,11230710
개포4동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,33000.0,50000.0,,,,,45.5,11230710
개포4동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,65400.0,114750.0,,,,,74.8,11230710
개포4동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,,,,1000.0,,,60.0,19.0,11230710
개포4동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,,,,1000.0,,,54.5,30.0,11230710
개포4동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,,,,5000.0,,,70.0,46.9,11230710
개포4동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,,,,5000.0,,,120.0,67.8,11230710
개포4동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,,,,10000.0,,,130.0,100.7,11230710
개포4동,강남구,단독다가구,월세,135㎡초과,46,높음,자치구,,,,1000.0,,,82.5,177.8,11230710
개포4동,강남구,아파트,월세,20㎡이하,353,높음,자치구,,,,6606.0,,,42.0,14.7,11230710
개포4동,강남구,아파트,월세,20-40㎡,101,높음,법정동,,,,5000.0,,,130.0,39.5,11230710
개포4동,강남구,아파트,월세,40-60㎡,55,높음,해당지역,,,,30000.0,,,240.0,59.9,11230710
개포4동,강남구,아파트,월세,60-85㎡,58,높음,해당지역,,,,50000.0,,,172.5,84.6,11230710
개포4동,강남구,아파트,월세,85-135㎡,19,보통,해당지역,,,,85000.0,,,200.0,102.3,11230710
개포4동,강남구,아파트,월세,135㎡초과,10,보통,법정동,,,,60000.0,,,182.5,163.1,11230710
개포4동,강남구,연립다세대,월세,20㎡이하,17,보통,해당지역,,,,1000.0,,,60.0,18.4,11230710
