지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,기준금액,금액의미,기준금액_25,기준금액_75,면적_중앙값,월세_보증금,월세_임대료
개포3동,강남구,연립다세대,전세,20-40㎡,106,높음,법정동,30000.0,보증금,23000.0,33650.0,29.8,30000.0,0.0
개포3동,강남구,연립다세대,전세,40-60㎡,96,높음,법정동,35000.0,보증금,28563.8,41850.0,48.6,35000.0,0.0
개포3동,강남구,연립다세대,전세,60-85㎡,37,높음,법정동,40700.0,보증금,36750.0,47000.0,68.5,40700.0,0.0
개포3동,강남구,연립다세대,전세,85-135㎡,51,높음,자치구,65000.0,보증금,52500.0,80000.0,105.8,65000.0,0.0
개포3동,강남구,연립다세대,전세,135㎡초과,18,보통,자치구,105000.0,보증금,84887.5,135000.0,176.2,105000.0,0.0
개포3동,강남구,오피스텔,전세,20㎡이하,69,높음,자치구,21000.0,보증금,18600.0,23000.0,17.6,21000.0,0.0
개포3동,강남구,오피스텔,전세,20-40㎡,16,보통,해당지역,19400.0,보증금,18791.2,20000.0,32.4,19400.0,0.0
개포3동,강남구,오피스텔,전세,40-60㎡,86,높음,자치구,37962.5,보증금,34140.0,45000.0,47.6,37962.5,0.0
개포3동,강남구,오피스텔,전세,60-85㎡,17,보통,자치구,68000.0,보증금,55600.0,73000.0,74.8,68000.0,0.0
개포3동,강남구,오피스텔,전세,85-135㎡,10,보통,자치구,106000.0,보증금,74625.0,132562.5,107.0,106000.0,0.0
개포4동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,매매가,315000.0,725000.0,292.2,,
개포4동,강남구,아파트,매매,20-40㎡,50,높음,법정동,170000.0,매매가,153750.0,175000.0,39.5,,
개포4동,강남구,아파트,매매,40-60㎡,23,보통,해당지역,267000.0,매매가,260000.0,270000.0,59.9,,
개포4동,강남구,아파트,매매,60-85㎡,23,보통,해당지역,318000.0,매매가,285500.0,325000.0,84.8,,
개포4동,강남구,아파트,매매,85-135㎡,11,보통,해당지역,380000.0,매매가,364250.0,390000.0,102.4,,
개포4동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,매매가,367500.0,750000.0,163.7,,
개포4동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,매매가,19446.0,29500.0,16.6,,
개포4동,강남구,연립다세대,매매,20-40㎡,43,높음,해당지역,53000.0,매매가,40000.0,63000.0,32.8,,
개포4동,강남구,연립다세대,매매,40-60㎡,56,높음,해당지역,72500.0,매매가,59325.0,83125.0,48.9,,
개포4동,강남구,연립다세대,매매,60-85㎡,14,보통,해당지역,83250.0,매매가,73825.0,115500.0,75.6,,
개포4동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,매매가,113500.0,238125.0,106.1,,
개포4동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,매매가,155000.0,222000.0,166.0,,
